# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   72       2.534495238927e-10       4.704166736497e-14      -8.697188497921e-13       2.204918756773e-16       2.459167818044e-11       3.050819538417e-12      -9.227693729497e-15 
   73       2.566939696013e-10       4.884181425136e-14      -9.319800901371e-13       2.266722672658e-16       2.379374537472e-11       2.963299656136e-12      -9.272749903170e-15 
   74       2.599700653320e-10       5.066972598691e-14      -9.957937115822e-13       2.329398057624e-16       2.303082848706e-11       2.879500166090e-12      -9.335442617053e-15 
   75       2.632762285967e-10       5.252469460182e-14      -1.061131582368e-12       2.392950316461e-16       2.229907825863e-11       2.799169852923e-12      -9.429232128606e-15 
   76       2.666109045258e-10       5.440582975376e-14      -1.127960777036e-12       2.457384362789e-16       2.159471119997e-11       2.722043514104e-12      -9.564933229753e-15 
   77       2.699747032783e-10       5.631154620439e-14      -1.196234270088e-12       2.522701460325e-16       2.091716183261e-11       2.648063809423e-12      -9.738107980141e-15 
   78       2.733685969829e-10       5.823998331678e-14      -1.265898536074e-12       2.588901832421e-16       2.026643868551e-11       2.577193471301e-12      -9.939437313830e-15 
   79       2.767932613939e-10       6.018915379872e-14      -1.336896238317e-12       2.655985595902e-16       1.964216411313e-11       2.509346516156e-12      -1.015841723411e-14 
   80       2.802490582453e-10       6.215694090467e-14      -1.409166168760e-12       2.723952757025e-16       1.904355655096e-11       2.444386060849e-12      -1.038331877031e-14 
   81       2.837360176047e-10       6.414109563762e-14      -1.482643187803e-12       2.792803207429e-16       1.846941277107e-11       2.382122139116e-12      -1.060114793465e-14 
   82       2.872538202282e-10       6.613923395099e-14      -1.557258164142e-12       2.862536720087e-16       1.791809013765e-11       2.322309518012e-12      -1.079760567905e-14 
   83       2.908017799142e-10       6.814883395052e-14      -1.632937914614e-12       2.933152945266e-16       1.738748886258e-11       2.264645514346e-12      -1.095704785195e-14 
   84       2.943792104400e-10       7.016748506146e-14      -1.709613552882e-12       3.004651559865e-16       1.687556237084e-11       2.208841365992e-12      -1.106573171210e-14 
   85       2.979866349180e-10       7.219368911971e-14      -1.787247257502e-12       3.077032752767e-16       1.638198447808e-11       2.154854723390e-12      -1.112226156710e-14 
   86       3.016247455046e-10       7.422618757191e-14      -1.865809851766e-12       3.150296812903e-16       1.590672734724e-11       2.102691875960e-12      -1.112880943466e-14 
   87       3.052940256258e-10       7.626372273332e-14      -1.945272869378e-12       3.224443981571e-16       1.544954921431e-11       2.052336690692e-12      -1.108799741961e-14 
   88       3.089947387954e-10       7.830503922451e-14      -2.025608635621e-12       3.299474450969e-16       1.500998551969e-11       2.003749664798e-12      -1.100291290698e-14 
   89       3.127269174324e-10       8.034888540788e-14      -2.106790348519e-12       3.375388362722e-16       1.458734003953e-11       1.956866978366e-12      -1.087712375508e-14 
   90       3.164903516792e-10       8.239401482433e-14      -2.188792160005e-12       3.452185806416e-16       1.418067601709e-11       1.911599547020e-12      -1.071469348859e-14 
   91       3.202845782190e-10       8.443918762982e-14      -2.271589257086e-12       3.529866818132e-16       1.378880729405e-11       1.867832074572e-12      -1.052019649158e-14 
   92       3.241088690937e-10       8.648317203198e-14      -2.355157943008e-12       3.608431378975e-16       1.341028944188e-11       1.825422105676e-12      -1.029873320068e-14 
   93       3.279624897801e-10       8.852463578022e-14      -2.439467640844e-12       3.687880584717e-16       1.304376249378e-11       1.784235792935e-12      -1.005545720156e-14 
   94       3.318455421048e-10       9.056179884721e-14      -2.524455352227e-12       3.768220359146e-16       1.268905736820e-11       1.744263409369e-12      -9.794042158900e-15 
   95       3.357582280188e-10       9.259273092375e-14      -2.610047489400e-12       3.849458299089e-16       1.234624022857e-11       1.705519538322e-12      -9.518011330221e-15 
   96       3.397005842493e-10       9.461545663920e-14      -2.696167581204e-12       3.931602567477e-16       1.201527172162e-11       1.668007469558e-12      -9.231213497043e-15 
   97       3.436724748138e-10       9.662795548894e-14      -2.782736243364e-12       4.014661907947e-16       1.169600293518e-11       1.631718755889e-12      -8.937831457945e-15 
   98       3.476735835339e-10       9.862816176173e-14      -2.869671148773e-12       4.098645659456e-16       1.138817135581e-11       1.596632769802e-12      -8.642390521622e-15 
   99       3.517034065491e-10       1.006139644670e-13      -2.956886997781e-12       4.183563770881e-16       1.109139682654e-11       1.562716260091e-12      -8.349766999937e-15 
  100       3.557612448307e-10       1.025832072626e-13      -3.044295488481e-12       4.269426815633e-16       1.080517750461e-11       1.529922908480e-12      -8.065196700980e-15 
  101       3.598461966956e-10       1.045336883814e-13      -3.131805286992e-12       4.356246006259e-16       1.052888581911e-11       1.498192886257e-12      -7.794283422122e-15 
